0, 0
6.945, 0
7.468, 5.53
0, 5.53
0, 0
nan, nan
0.1, -0.1
1.6, -0.1
nan, nan
6.6, 0
7.123, 5.53
nan, nan
0, 5.0
0.53, 5.0
0.53, 5.53
